name,oblast,latitude,longitude
Скадовськ,Херсонська область,46.1131,32.9098
Синельникове,Дніпропетровська область,48.3236,35.5261
Сімферополь,Автономна республіка Крим,44.9572,34.1108
Шпола,Черкаська область,49.0129,31.3926
Шостка,Сумська область,51.8643,33.4728
Шишаки,Полтавська область,49.8757,34.0065
Шепетівка,Хмельницька область,50.1812,27.0652
Саврань,Одеська область,48.1293,30.0833
Сарни,Рівненська область,51.339,26.6069
Самбір,Львівська область,49.5162,23.2013
Розівка,Запорізька область,47.3954,37.0708
Роздільна,Одеська область,46.8548,30.0709
Ровеньки,Луганська область,48.0828,39.377
Ромни,Сумська область,50.7403,33.4952
Рогатин,Івано-Франківська область,49.4104,24.611
Решетилівка,Полтавська область,49.563,34.079
Роздольне,Автономна республіка Крим,45.7702,33.4909
Рахів,Закарпатська область,48.0547,24.2031
Прилуки,Чернігівська область,50.5953,32.3838
Приазовське,Запорізька область,46.7312,35.6408
Полонне,Хмельницька область,50.1194,27.5086
Пологи,Запорізька область,47.4787,36.2546
Підволочиськ,Тернопільська область,49.5313,26.144
Підгайці,Тернопільська область,49.2678,25.1277
Петрове,Кіровоградська область,48.3381,33.2653
Первомайськ,Миколаївська область,48.0448,30.8478
Перечин,Закарпатська область,48.7349,22.4772
Павлоград,Дніпропетровська область,48.5321,35.8688
Оріхів,Запорізька область,47.5761,35.7833
Онуфріївка,Кіровоградська область,48.8992,33.4495
Вільшанка,Кіровоградська область,48.2342,30.8728
Олександрія,Кіровоградська область,48.6747,33.1176
Олександрівка,Кіровоградська область,48.968,32.2397
Очаків,Миколаївська область,46.6147,31.545
Обухів,Київська область,50.1163,30.6333
Нові Санжари,Полтавська область,49.3338,34.315
Новий Буг,Миколаївська область,47.6906,32.5121
Новоукраїнка,Кіровоградська область,48.3166,31.5236
Новоселиця,Чернівецька область,48.2181,26.2677
Новомиколаївка,Запорізька область,47.9736,35.8981
Самар,Дніпропетровська область,48.6289,35.2589
Новомиргород,Кіровоградська область,48.8169,31.6499
Звягель,Житомирська область,50.5914,27.6088
Новоайдар,Луганська область,48.9629,39.0038
Новоархангельськ,Кіровоградська область,48.6619,30.8071
Новгород-Сіверський,Чернігівська область,52.0068,33.2634
Новгородка,Кіровоградська область,48.3609,32.6547
Нова Одеса,Миколаївська область,47.3127,31.7697
Ніжин,Чернігівська область,51.0477,31.8884
Нікополь,Дніпропетровська область,47.5683,34.3913
Надвірна,Івано-Франківська область,48.6366,24.5714
Мукачево,Закарпатська область,48.4425,22.718
Могилів-Подільський,Вінницька область,48.4428,27.7997
Миргород,Полтавська область,49.9646,33.6086
Мелітополь,Запорізька область,46.8473,35.382
Машівка,Полтавська область,49.4441,34.8716
Мала Виска,Кіровоградська область,48.6469,31.6323
Макіївка,Донецька область,48.0478,37.9258
Лисянка,Черкаська область,49.2505,30.8278
Лубни,Полтавська область,50.0141,32.9997
Лозова,Харківська область,48.8907,36.3141
Летичів,Хмельницька область,49.3801,27.6189
Більмак,Запорізька область,47.3591,36.6533
Купянськ,Харківська область,49.71,37.6158
Кривий Ріг,Дніпропетровська область,47.9057,33.394
Кременец,Тернопільська область,50.0986,25.7279
Кременчук,Полтавська область,49.0625,33.4048
Яни Капу,Автономна республіка Крим,45.9555,33.7926
Курман,Автономна республіка Крим,45.5027,34.3013
Берестин,Харківська область,49.3776,35.4449
Покровськ,Донецька область,48.2801,37.1771
Красилів,Хмельницька область,49.6538,26.9721
Краматорськ,Донецька область,48.7311,37.5678
Козова,Тернопільська область,49.4321,25.1455
Ковель,Волинська область,51.2155,24.7008
Котельва,Полтавська область,50.0685,34.747
Косів,Івано-Франківська область,48.3205,25.0911
Корюківка,Чернігівська область,51.7746,32.2475
Корсунь-Шевченківський,Черкаська область,49.4182,31.2517
Коростень,Житомирська область,50.9512,28.6386
Конотоп,Сумська область,51.2325,33.2004
Компаніївка,Кіровоградська область,48.2502,32.2014
Доброслав,Одеська область,46.821,30.9452
Коломия,Івано-Франківська область,48.525,25.0371
Кобеляки,Полтавська область,49.1494,34.2019
Кіцмань,Чернівецька область,48.4387,25.7611
Іслям-Терек,Автономна республіка Крим,45.2297,35.1999
Кілія,Одеська область,45.4445,29.264
Хуст,Закарпатська область,48.1719,23.2979
Хмільник,Вінницька область,49.5581,27.9568
Керч,Автономна республіка Крим,45.3567,36.4754
Кельменці,Чернівецька область,48.4664,26.8328
Казанка,Миколаївська область,47.8269,32.8306
Катеринопіль,Черкаська область,48.9456,30.9719
Карлівка,Полтавська область,49.4555,35.1349
Канів,Черкаська область,49.7519,31.47
Кам’янець-Подільський,Хмельницька область,48.6788,26.5852
Камінь-Каширський,Волинська область,51.6251,24.9628
Кам’янка,Черкаська область,49.0395,32.1017
Калуш,Івано-Франківська область,49.024,24.3721
Калинівка,Вінницька область,49.4613,28.5154
Каховка,Херсонська область,46.816,33.4786
Ізюм,Харківська область,49.207,37.2768
Ізяслав,Хмельницька область,50.1198,26.8248
Городок,Хмельницька область,49.1721,26.5636
Горлівка,Донецька область,48.2999,38.0171
Глибока,Чернівецька область,48.0876,25.9284
Гуляй-Поле,Запорізька область,47.6668,36.2558
Городище,Черкаська область,49.2911,31.4403
Горностаївка,Херсонська область,47.0117,33.7299
Голованівськ,Кіровоградська область,48.3874,30.4595
Генічеськ,Херсонська область,46.1682,34.8086
Гайворон,Кіровоградська область,48.3432,29.8659
Гайсин,Вінницька область,48.8129,29.3792
Галіч,Івано-Франківська область,49.1237,24.7275
Гадяч,Полтавська область,50.3691,33.997
Феодосія,Автономна республіка Крим,45.032,35.3815
Фастів,Київська область,50.078,29.9196
Джанкой,Автономна республіка Крим,45.7131,34.3927
Дубно,Рівненська область,50.4075,25.7624
Дрогобич,Львівська область,49.352,23.5112
Добровеличківка,Кіровоградська область,48.3894,31.1804
Кам'янське,Дніпропетровська область,48.5172,34.6062
Диканька,Полтавська область,49.8259,34.522
Деражня,Хмельницька область,49.2692,27.4291
Чутове,Полтавська область,49.7141,35.1575
Чугуїв,Харківська область,49.8354,36.6865
Чортків,Тернопільська область,49.017,25.7981
Шептицький,Львівська область,50.394,24.2394
Буча,Київська область,50.5474,30.2088
Броварі,Київська область,50.511,30.7911
Бориспіль,Київська область,50.3505,30.9526
Болград,Одеська область,45.6779,28.6181
Богородчани,Івано-Франківська область,48.8081,24.5373
Богодухів,Харківська область,50.1615,35.5237
Бобринец,Кіровоградська область,48.0567,32.1655
Білгород-Дністровський,Одеська область,46.1948,30.3483
Біла Церква,Київська область,49.7994,30.1165
Берислав,Херсонська область,46.8385,33.4266
Березівка,Одеська область,47.2004,30.9094
Березнегувате,Миколаївська область,47.3087,32.851
Бережани,Тернопільська область,49.4458,24.9369
Березанка,Миколаївська область,46.8516,31.3853
Берегове,Закарпатська область,48.2051,22.6445
Бердичів,Житомирська область,49.8942,28.5824
Бердянськ,Запорізька область,46.7558,36.7882
Біляївка,Одеська область,46.4843,30.2089
Білозерка,Херсонська область,46.6265,32.4445
Білогір’я,Хмельницька область,49.9989,26.4144
Білогірськ,Автономна республіка Крим,45.0568,34.6039
Баштанка,Миколаївська область,47.4053,32.4344
Балта,Одеська область,47.936,29.6223
Бахчисарай,Автономна республіка Крим,44.7552,33.8578
Бахмут,Донецька область,48.5942,37.9989
Армянськ,Автономна республіка Крим,46.1092,33.6921
Алушта,Автономна республіка Крим,44.6773,34.4097
Алчевськ,Луганська область,48.4691,38.7974
Якимівка,Запорізька область,46.7011,35.1633
Охтирка,Сумська область,50.3085,34.8947
Окни,Одеська область,47.5429,29.4559
Вараш,Рівненська область,51.3404,25.8555
Глибочок,Черкаська область,48.8669,30.799
Рені,Одеська область,45.4542,28.2773
Оленевка,Автономна республіка Крим,45.3833,32.5333
Лебедин,Сумська область,50.5823,34.4826
Дружківка,Донецька область,48.62,37.5254
Жидачів,Львівська область,49.3832,24.1392
Ковильне,Автономна республіка Крим,45.6903,33.5277
Івано-Франкове,Львівська область,49.9217,23.7249
Зибини,Автономна республіка Крим,45.2367,34.6499
Званівка,Донецька область,48.812,38.078
Зуя,Автономна республіка Крим,45.0542,34.3215
Зугрес,Донецька область,48.0143,38.266
Зоркино,Автономна республіка Крим,45.5476,34.7103
Золотое Поле,Автономна республіка Крим,45.1277,34.9915
Золоте,Луганська область,48.6952,38.5151
Золотники,Тернопільська область,49.2869,25.384
Золочів,Харківська область,50.2733,35.9776
Зноб Новгородське,Сумська область,52.2629,33.6016
Зміїв,Харківська область,49.6969,36.3621
Злинка,Кіровоградська область,48.4842,31.5383
Зіньків,Хмельницька область,49.0935,27.075
Зимне,Волинська область,50.8011,24.3318
Зимна Вода,Львівська область,49.8263,23.8822
Зимино,Автономна республіка Крим,45.508,33.5143
Журавно,Львівська область,49.26,24.2819
Журавки,Автономна республіка Крим,45.1263,35.2151
Миколаївка,Сумська область,50.9414,34.3737
Квітневе,Житомирська область,49.9923,29.5168
Петровірівка,Одеська область,47.2379,30.327
Жовтанці,Львівська область,49.9913,24.2448
Жовква,Львівська область,50.0575,23.9735
Жемчужина,Автономна республіка Крим,45.2747,34.6578
Желябовка,Автономна республіка Крим,45.3988,34.7578
Жовті Води,Дніпропетровська область,48.3452,33.4974
Війтівці,Вінницька область,49.6221,27.8945
Жданівка,Донецька область,48.1532,38.2569
Жашків,Черкаська область,49.2459,30.0989
Згурівка,Київська область,50.5019,31.7769
Зерновое,Автономна республіка Крим,45.3236,34.481
Земляничное,Автономна республіка Крим,44.9744,34.8355
Зелене,Автономна республіка Крим,44.5958,34.0092
Зеленодольськ,Дніпропетровська область,47.555,33.6591
Зелене,Івано-Франківська область,48.0474,24.7497
Здолбунів,Рівненська область,50.5221,26.2482
Здовбиця,Рівненська область,50.499,26.2472
Зайцеве,Дніпропетровська область,48.4283,35.6728
Заветное,Автономна республіка Крим,45.327,34.8084
Заветное,Автономна республіка Крим,45.123,36.3997
Завет-Ленинский,Автономна республіка Крим,45.8626,34.3916
Затурці,Волинська область,50.7822,24.8504
Кароліно-Бугаз,Одеська область,46.1444,30.5307
Заріччя,Закарпатська область,48.2849,22.9923
Зарічне,Рівненська область,51.8139,26.1308
Заречное,Автономна республіка Крим,45.7364,34.4834
Загвіздя,Івано-Франківська область,48.9227,24.6636
Зачепилівка,Харківська область,49.2002,35.2375
Заброди,Волинська область,51.6668,24.6028
Заболоття,Волинська область,51.6299,24.2526
Заболотці,Львівська область,50.0323,24.9746
Південне,Одеська область,46.6247,31.1018
Бунге,Донецька область,48.2214,38.2837
Юнаківка,Сумська область,51.1226,35.0385
Катеринівка,Луганська область,48.5559,39.1828
Єрмакове,Автономна республіка Крим,45.8536,34.4864
Єнакієве,Донецька область,48.2386,38.204
Ємільчине,Житомирська область,50.8719,27.802
Троїцьке,Дніпропетровська область,48.4102,35.8682
Ясинувата,Донецька область,48.1268,37.8592
Яришів,Вінницька область,48.5136,27.632
Ярунь,Житомирська область,50.5467,27.4629
Ярославичі,Рівненська область,50.6416,25.4289
Яркое Поле,Автономна республіка Крим,45.6129,34.3183
Яркое,Автономна республіка Крим,45.6912,34.2632
Ямпіль,Донецька область,48.9355,37.9563
Ямниця,Івано-Франківська область,48.9862,24.7077
Якушинці,Вінницька область,49.2606,28.3624
Яготин,Київська область,50.2754,31.7634
Яблунівка,Чернігівська область,50.4592,32.1839
Висоцьк,Рівненська область,51.7237,26.6603
Високе,Чернігівська область,51.3319,32.5558
Високе,Житомирська область,50.4055,28.8069
Високий,Харківська область,49.8942,36.1238
Вишевичі,Житомирська область,50.6305,29.4049
Виноградів,Закарпатська область,48.1413,23.0362
Вигода,Одеська область,46.6166,30.4032
Воздвижівка,Запорізька область,47.752,36.0802
Войково,Автономна республіка Крим,45.5122,33.8748
Войково,Автономна республіка Крим,45.3833,36.4374
Ворожба,Сумська область,51.1732,34.2266
Вороновиця,Вінницька область,49.109,28.6868
Вороньків,Київська область,50.2225,30.9001
Воробйове,Автономна республіка Крим,45.3289,33.2465
Волока,Чернівецька область,48.1971,25.9367
Нікольське,Донецька область,47.2053,37.3214
Володарка,Київська область,49.525,29.9102
Вільногірськ,Дніпропетровська область,48.4842,34.0171
Карпівка,Дніпропетровська область,47.6673,33.1222
Вовчанськ,Харківська область,50.2908,36.9411
Воїнка,Автономна республіка Крим,45.8699,33.9914
Водяне,Запорізька область,47.4867,34.5025
Владиславовка,Автономна республіка Крим,45.1665,35.3727
Володимирівка,Миколаївська область,47.523,32.9258
Володимирець,Рівненська область,51.4191,26.1435
Визирка,Одеська область,46.6859,30.9991
Витвиця,Івано-Франківська область,48.9914,23.8524
Вишневе,Київська область,50.3883,30.3681
Вишенное,Автономна республіка Крим,45.1451,34.5969
Вишнівка,Автономна республіка Крим,45.9597,33.9529
Вишнів,Волинська область,51.1977,24.0304
Вири,Рівненська область,51.2417,26.9411
Виноградове,Херсонська область,46.3687,32.9384
Виноградове,Автономна республіка Крим,45.3926,33.6467
Виноградне,Автономна республіка Крим,45.2933,35.8445
Виноград,Черкаська область,49.2392,30.547
Вінники,Львівська область,49.8167,24.1442
Вилино,Автономна республіка Крим,44.8456,33.6716
Вікно,Чернівецька область,48.5713,25.9724
Верхівцеве,Дніпропетровська область,48.4813,34.24
Верхоречье,Автономна республіка Крим,44.6974,33.987
Верхня,Івано-Франківська область,49.0984,24.3122
Верхній Коропець,Закарпатська область,48.4317,22.7874
Верхньосадове,Автономна республіка Крим,44.6893,33.7021
Верхньодніпровськ,Дніпропетровська область,48.6556,34.3262
Вересаєве,Автономна республіка Крим,45.3055,33.5
Веренчанка,Чернівецька область,48.5463,25.7408
Вербки,Дніпропетровська область,48.5865,35.8991
Верба,Рівненська область,50.2799,25.6018
Великоплоске,Одеська область,47.014,29.6688
Велицьк,Волинська область,51.1219,25.2045
Велимче,Волинська область,51.5799,24.7406
Великоміхайлівка,Дніпропетровська область,47.967,36.4709
Великодолинське,Одеська область,46.3464,30.579
Великий Любінь,Львівська область,49.7224,23.7337
Великий Хутір,Черкаська область,49.8571,32.1005
Великі Сорочинці,Полтавська область,50.0243,33.9433
Великі Мости,Львівська область,50.2432,24.14
Великі Лучки,Закарпатська область,48.4171,22.5726
Великі Копані,Херсонська область,46.4894,32.9721
Великі Гаї,Тернопільська область,49.5209,25.6518
Великі Дедеркали,Тернопільська область,50.0257,26.1236
Великі Будища,Полтавська область,50.4627,34.147
Великий Дальник,Одеська область,46.4721,30.5629
Великий Бурлук,Харківська область,50.0613,37.3836
Велика Виска,Кіровоградська область,48.5611,31.8534
Велика Рублівка,Полтавська область,49.896,34.8007
Велика Писарівка,Сумська область,50.4233,35.483
Велика Новосілка,Донецька область,47.8428,36.8363
Велика Димерка,Київська область,50.5911,30.901
Велика Добронь,Закарпатська область,48.4198,22.3886
Велика Бийгань,Закарпатська область,48.2476,22.5757
Велика Андрусівка,Кіровоградська область,49.0581,32.9466
Багачеве,Черкаська область,49.012,31.0466
Василівка,Автономна республіка Крим,45.1394,34.7229
Васильківці,Тернопільська область,49.0919,26.077
Васильківка,Дніпропетровська область,48.2082,36.0221
Васильків,Київська область,50.1802,30.3119
Варва,Чернігівська область,50.4986,32.7227
Варковичі,Рівненська область,50.4761,25.9706
Валки,Харківська область,49.837,35.6139
Боково-Хрустальне,Луганська область,48.1512,38.7804
Узин,Київська область,49.8248,30.4249
Уютное,Автономна республіка Крим,45.1977,33.298
Уварово,Автономна республіка Крим,45.2626,35.6651
Устилуг,Волинська область,50.8612,24.1531
Ушомир,Житомирська область,50.8619,28.4692
Урожайное,Автономна республіка Крим,45.3362,35.0686
Укромное,Автономна республіка Крим,45.0427,34.0031
Українськ,Донецька область,48.0978,37.3653
Українка,Київська область,50.1432,30.7461
Угринів,Івано-Франківська область,48.9555,24.694
Угля,Закарпатська область,48.1508,23.628
Вуглегірськ,Донецька область,48.3149,38.2718
Вугледар,Донецька область,47.7797,37.25
Удачне,Донецька область,48.241,36.9924
Тиврів,Вінницька область,49.0121,28.5004
Тягинка,Херсонська область,46.7809,33.0559
Турка,Львівська область,49.1536,23.0293
Турійськ,Волинська область,51.0872,24.5262
Турбів,Вінницька область,49.3408,28.7183
Тупичів,Чернігівська область,51.77,31.4327
Циблі,Київська область,49.9935,31.5623
Цветочное,Автономна республіка Крим,45.0866,34.3852
Цумань,Волинська область,50.8306,25.8834
Циркуни,Харківська область,50.0844,36.3872
Целинное,Автономна республіка Крим,45.9063,34.1806
Цебрикове,Одеська область,47.1467,30.1079
Трускавец,Львівська область,49.2807,23.5037
Тростянец,Сумська область,50.4848,34.9657
Троїцьке,Луганська область,49.912,38.2842
Чистяково,Донецька область,48.0388,38.5969
Торчин,Волинська область,50.766,25.0006
Томашівка,Київська область,50.1978,29.8265
Токарево,Автономна республіка Крим,45.2837,35.1524
Тишківка,Кіровоградська область,48.4956,30.942
Тетіїв,Київська область,49.3702,29.6693
Терпіння,Запорізька область,46.9763,35.4221
Тернівка,Черкаська область,49.1314,31.8424
Тернівка,Дніпропетровська область,48.5266,36.0705
Тернівка,Автономна республіка Крим,44.5792,33.751
Тереблече,Чернівецька область,48.0162,26.053
Теплиця,Одеська область,45.9864,29.3381
Маслово,Автономна республіка Крим,45.792,34.363
Тенистое,Автономна республіка Крим,44.743,33.6681
Татарбунари,Одеська область,45.8386,29.6112
Клепинино,Автономна республіка Крим,45.528,34.1831
Ташань,Київська область,50.0474,31.841
Таромське,Дніпропетровська область,48.4428,34.7885
Тараща,Київська область,49.5572,30.4962
Тарашани,Чернівецька область,48.1111,26.0143
Тараканів,Рівненська область,50.3801,25.7077
Сари-Баш,Автономна республіка Крим,45.5714,33.7873
Талалаївка,Чернігівська область,50.8429,33.1417
Табачное,Автономна республіка Крим,45.6126,34.615
Табачное,Автономна республіка Крим,44.9017,33.6764
Светлое,Автономна республіка Крим,45.6332,34.6626
Светлодарск,Донецька область,48.4337,38.2233
Свеса,Сумська область,51.9513,33.9338
Свалява,Закарпатська область,48.5474,22.9867
Суворовське,Автономна республіка Крим,45.2517,33.3719
Сутиски,Вінницька область,49.039,28.4196
Сусанино,Автономна республіка Крим,45.499,33.6985
Сурсько-Литовське,Дніпропетровська область,48.3378,34.9371
Сухий Єланець,Миколаївська область,47.3698,31.9867
Суходільськ,Луганська область,48.3508,39.7257
Судова Вишня,Львівська область,49.7868,23.374
Судилків,Хмельницька область,50.1675,27.1286
Суботці,Кіровоградська область,48.6545,32.5195
Студеники,Київська область,50.2019,31.6158
Студена,Вінницька область,48.1431,28.854
Стрюкове,Одеська область,47.3739,30.5764
Сюрте,Закарпатська область,48.5018,22.2285
Стрижавка,Вінницька область,49.3096,28.4721
Стриєва,Житомирська область,50.5274,27.6249
Стрілки,Львівська область,49.332,22.9785
Столбовое,Автономна республіка Крим,45.3627,33.4958
Степове,Миколаївська область,47.1893,31.5173
Степне,Запорізька область,47.7974,35.3064
Ботаническое,Автономна республіка Крим,45.7866,33.5486
Степное,Автономна республіка Крим,45.6521,33.7744
Степанці,Черкаська область,49.7039,31.297
Степанівка,Сумська область,50.9479,34.613
Степанки,Черкаська область,49.3166,31.9832
Степань,Рівненська область,51.1332,26.3059
Стебник,Львівська область,49.301,23.552
Ставище,Київська область,49.3915,30.191
Ставчани,Чернівецька область,48.5114,25.6792
Старий Самбір,Львівська область,49.44,23.0008
Старий Салтів,Харківська область,50.0716,36.7851
Старий Крим,Автономна республіка Крим,45.0289,35.0917
Клесів,Рівненська область,51.3146,26.8949
Старі Богородчани,Івано-Франківська область,48.8295,24.5263
Старе Село,Рівненська область,51.6132,27.1305
Старовірівка,Харківська область,49.5548,35.7485
Старосільці,Житомирська область,50.4081,28.9928
Старомлинівка,Донецька область,47.6969,36.827
Старобешеве,Донецька область,47.7507,38.0304
Стара Вижівка,Волинська область,51.4366,24.4396
Мурафа,Вінницька область,48.7699,28.2143
Станіславчик,Вінницька область,48.9686,28.1053
Станіслав,Херсонська область,46.5733,32.1477
Станишівка,Житомирська область,50.2205,28.7287
Станиця Луганська,Луганська область,48.6625,39.4836
Стальное,Автономна республіка Крим,45.7081,34.5624
Вакулове,Дніпропетровська область,47.8983,33.9333
Стахановка,Автономна республіка Крим,45.3706,33.9488
Кадиевка,Луганська область,48.5682,38.6435
Срібне,Чернігівська область,50.6631,32.9191
Ямпіль,Вінницька область,48.2406,28.2814
Спас,Івано-Франківська область,48.8872,24.0629
Соснове,Рівненська область,50.8238,26.9984
Соснівка,Львівська область,50.2897,24.2514
Сошичне,Волинська область,51.4707,24.8786
Солоницівка,Харківська область,49.9968,36.0346
Солобківці,Хмельницька область,49.0854,26.9169
Іллінка,Автономна республіка Крим,45.8178,33.7948
Сокаль,Львівська область,50.4745,24.2809
Соболівка,Вінницька область,48.6153,29.4881
Сніжне,Донецька область,48.0233,38.7621
Смирнове,Запорізька область,47.2203,36.5411
Смідин,Волинська область,51.2983,24.4321
Слов'янськ,Донецька область,48.8497,37.5974
Словечне,Житомирська область,51.3793,28.3495
Славянское,Автономна республіка Крим,45.7277,33.3216
Слов’янка,Дніпропетровська область,48.4006,36.716
Славське,Львівська область,48.8451,23.4459
Славное,Автономна республіка Крим,45.7218,33.2369
Скворцово,Автономна республіка Крим,45.0754,33.8208
Сквира,Київська область,49.734,29.6635
Скорики,Тернопільська область,49.5976,26.1407
Сколе,Львівська область,49.0377,23.5136
Східниця,Львівська область,49.2245,23.3519
Скалистое,Автономна республіка Крим,44.8169,33.9779
Сизовка,Автономна республіка Крим,45.3489,33.8767
Синюхин Брід,Миколаївська область,48.1449,30.8191
Синівка,Сумська область,50.5424,34.1011
Синевир,Закарпатська область,48.4928,23.6214
Швайківка,Житомирська область,49.9945,28.5114
Шульгинка,Луганська область,49.1429,38.9225
Шрамківка,Черкаська область,50.1375,32.1257
Шпанів,Рівненська область,50.663,26.2629
Широке,Запорізька область,47.9117,34.9032
Пшеничное,Автономна республіка Крим,45.6463,34.8377
Широкий,Луганська область,48.8306,39.6365
Щиборівка,Хмельницька область,49.6709,27.0239
Партизани,Автономна республіка Крим,45.1437,35.1551
Шевченкове,Харківська область,49.6951,37.1763
Шевченкове,Черкаська область,49.1918,31.0899
Шевченкове,Миколаївська область,46.8629,32.2027
Матвіївка,Запорізька область,47.9053,35.3022
Шегині,Львівська область,49.8013,22.9748
Божедарівка,Дніпропетровська область,48.3569,34.1121
Сновськ,Чернігівська область,51.8167,31.9425
Щирец,Львівська область,49.6525,23.8579
Щербані,Полтавська область,49.5346,34.5375
Шатськ,Волинська область,51.4993,23.9359
Шалигине,Сумська область,51.5699,34.1251
Шахтарськ,Донецька область,48.0566,38.4383
Сіверськ,Донецька область,48.8648,38.0968
Северинівка,Вінницька область,49.0506,27.9469
Сереховичі,Волинська область,51.4088,24.6722
Серебрянка,Автономна республіка Крим,45.6394,33.4963
Сенча,Полтавська область,50.2547,33.3489
Семисотка,Автономна республіка Крим,45.2468,35.565
Семидуби,Рівненська область,50.3442,25.8094
Семенівка,Житомирська область,49.8704,28.6629
Семенівка,Запорізька область,46.8951,35.408
Селятин,Чернівецька область,47.8674,25.1989
Селище,Черкаська область,49.3269,31.1501
Селидове,Донецька область,48.1465,37.3022
Седнів,Чернігівська область,51.6418,31.5622
Щастя,Луганська область,48.7378,39.2305
Савинці,Харківська область,49.4004,37.0513
Саранчуки,Тернопільська область,49.3533,24.9849
Самгородок,Вінницька область,49.5321,28.8424
Самари,Волинська область,51.8629,24.6168
Саксагань,Дніпропетровська область,48.3442,33.8417
Саки,Автономна республіка Крим,45.1342,33.6
Сахнівці,Хмельницька область,49.971,26.8535
Сахновщина,Харківська область,49.1502,35.8727
Садовое,Автономна республіка Крим,45.3104,34.6526
Ржищів,Київська область,49.9693,31.0424
Русаковка,Автономна республіка Крим,45.1237,34.4746
Рукшин,Чернівецька область,48.4887,26.4003
Рудки,Львівська область,49.6535,23.4867
Руч’ї,Автономна республіка Крим,45.7856,33.6609
Рубіжне,Луганська область,49.0085,38.3797
Рубанівка,Херсонська область,46.998,34.1701
Розвадів,Львівська область,49.5031,23.9582
Рожнів,Івано-Франківська область,48.365,25.2284
Рожище,Волинська область,50.9163,25.2712
